MAN-MADE THERMAL OBJECT COORDINATES
===================================
Total objects: 132
Format: Object_ID, Center_X, Center_Y, Size_pixels, Avg_Temperature

 93,  2485,  2333,    392,  46849.0, INDUSTRIAL
 94,  2667,  2342,    160,  46923.6, INDUSTRIAL
 95,  2540,  2346,    104,  46826.5, INDUSTRIAL
 96,  2464,  2363,    408,  46929.6, INDUSTRIAL
 97,  2393,  2366,     99,  47106.8, INDUSTRIAL
 98,  2293,  2371,    244,  47036.6, INDUSTRIAL
 99,  3646,  2378,    150,  46785.1, INDUSTRIAL
100,  2482,  2378,    143,  46837.8, INDUSTRIAL
101,  2383,  2397,    386,  46956.5, INDUSTRIAL
102,  2530,  2442,    446,  47512.2, INDUSTRIAL
103,  2452,  2464,    123,  46763.9, INDUSTRIAL
104,  2885,  2479,    126,  46830.6, INDUSTRIAL
105,  2447,  2497,    411,  46972.2, INDUSTRIAL
106,  2320,  2535,    103,  46828.2, INDUSTRIAL
107,  2868,  2699,    163,  46939.3, INDUSTRIAL
108,  2951,  2729,    166,  46822.7, INDUSTRIAL
109,  3343,  2837,    104,  46880.6, INDUSTRIAL
110,  3374,  2849,    140,  46805.4, INDUSTRIAL
111,  3191,  2998,    164,  47081.2, INDUSTRIAL
112,  3633,  3334,    101,  46842.1, INDUSTRIAL
113,  3749,  3360,    108,  48903.0, INDUSTRIAL
114,  3185,  3373,    116,  46780.0, INDUSTRIAL
115,  1146,  3735,    372,  46947.8, INDUSTRIAL
116,  1152,  3773,    108,  46814.1, INDUSTRIAL
117,  1353,  3781,    277,  46904.4, INDUSTRIAL
118,  1105,  3836,    300,  46900.6, INDUSTRIAL
119,   846,  3846,    107,  46983.9, INDUSTRIAL
120,  1037,  3856,    627,  46879.5, INDUSTRIAL
121,   937,  3858,    134,  46889.6, INDUSTRIAL
122,   810,  3869,    103,  46976.9, INDUSTRIAL
123,  1117,  3874,    200,  47088.3, INDUSTRIAL
124,   810,  3896,    521,  47307.2, INDUSTRIAL
125,   842,  3905,    311,  47215.6, INDUSTRIAL
126,   935,  3905,    266,  46821.2, INDUSTRIAL
127,   977,  3896,    107,  46856.4, INDUSTRIAL
128,   867,  3904,    150,  46897.0, INDUSTRIAL
129,   783,  3908,    100,  46809.0, INDUSTRIAL
130,  2320,  3973,    118,  47005.2, INDUSTRIAL
131,  2361,  3987,    152,  46776.6, INDUSTRIAL
132,  2940,  4207,    281,  47713.8, INDUSTRIAL
